"Profit Center","Ergebnisplan Plan/Ist Kämmerer","1 Steuern und ähnliche Abgaben","2 + Zuwendungen und allgemeine Umlagen","3 + Sonstige Transfererträge","4 + Öffentlich-rechtliche Leistungsent-gelte","5 + Privatrecht-liche Leistungs-entgelte","6 + Kostenerstatt-ungen und Kostenumlagen","7 + Sonstige ordentliche Ertäge","8 + Aktivierte Eigenleistungen","10 = Ordentliche Erträge","11 - Personalauf-wendungen","12 - Versorgungsaufwendungen","13 - Aufwendungen für Sach- und Dienstleis-tungen","14 - Bilanzielle Abschreibungen","15 - Transferaufwen-dungen","16 - Sonstige ordentliche Aufwendungen","17 = Ordentliche Aufwendungen","18 = Ergebnis der laufenden Verwaltungs-tätigkeit
(= 10 + 17)","19 + Finanzerträge","20 - Zinsen und ähnliche Finanzaufwen-dungen","21 = Finanzergebnis
(= 19 + 20)","22 = Ordentliches Ergebnis
(= 18 + 21))","23 + Außerordent-liche Erträge","24 - Außerordent-liche Aufwendungen","25 = Außerordent-liches Ergebnis
(= 23 + 24)","26 = Jahresergebnis
(= 22 + 25)","27 + Erträge aus internen Leistungsbe-ziehungen","28 - Aufwendungen aus internen Leistungsbe-ziehungen","29 = Ergebnis
(= 26, 27, 28)"
"Plan 2012",,,-8.431.954,,,,,,,-8.431.954,459.424,60.104,10.922.134,3.330,,53.869,11.498.862,3.066.908,,,,3.066.908,,,,3.066.908,-291.796,349.907,3.125.019
"Plan 2013",,,-1.441.754,,,,,,,-1.441.754,430.604,75.658,4.947.535,3.330,,54.155,5.511.281,4.069.528,,,,4.069.528,,,,4.069.528,-282.765,116.398,3.903.161
"Plan 2014",,,-154,,,,,,,-154,394.847,67.267,2.384.935,3.330,,54.032,2.904.411,2.904.258,,,,2.904.258,,,,2.904.258,-275.794,59.981,2.688.445
"Plan 2015",,,-154,,,,,,,-154,382.949,64.902,34.934,3.330,,54.027,540.142,539.988,,,,539.988,,,,539.988,-273.166,59.748,326.570
"1119","Arbeitsschutz,-medizin,Gesundh.i.Betrieb",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,,,,,-23.690,-4.822,,-28.512,350.859,,26.031,5.781,,13.179,395.850,367.338,,,,367.338,,,,367.338,-372.970,20.160,14.528
"Ansatz 2010",,,,,,,-25.700,,,-25.700,364.212,,26.490,,,14.350,405.052,379.352,,,,379.352,,,,379.352,-416.717,37.365,
"Ansatz 2011",,,,,,,-78.041,,,-78.041,830.759,43.681,37.934,499,,52.380,965.253,887.212,,,,887.212,,,,887.212,-951.588,64.375,
"Plan 2012",,,,,,,-78.000,,,-78.000,837.599,32.794,37.935,6.920,,52.401,967.650,889.650,,,,889.650,,,,889.650,-953.424,63.773,0
"Plan 2013",,,,,,,-78.000,,,-78.000,860.754,48.217,37.936,7.171,,52.607,1.006.686,928.686,,,,928.686,,,,928.686,-992.698,64.012,0
"Plan 2014",,,,,,,-78.000,,,-78.000,871.223,47.911,37.936,7.171,,52.543,1.016.784,938.784,,,,938.784,,,,938.784,-1.002.556,63.772,0
"Plan 2015",,,,,,,-78.000,,,-78.000,881.617,48.422,37.935,7.171,,52.548,1.027.693,949.693,,,,949.693,,,,949.693,-1.013.464,63.771,0
"1120","Information, Beratung, Service Amt 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-296,,-2.235,-7.353,-44,-16.416,,-26.344,154.041,35.196,29.880,9.985,,17.295,246.398,220.054,,,,220.054,-22,57,35,220.089,,46.094,266.183
"Ansatz 2010",,,-114,,,-10.200,-22,-100,,-10.436,488.224,11.749,29.693,4.119,,16.507,550.292,539.856,,,,539.856,,,,539.856,,54.741,594.597
"Ansatz 2011",,,,,,-10.200,-22,-100,,-10.322,538.182,15.515,39.722,224,,19.061,612.704,602.382,,,,602.382,,,,602.382,,56.349,658.731
"Plan 2012",,,-134,,,-8.000,,-100,,-8.234,381.866,7.273,26.095,6.444,,12.471,434.149,425.915,,,,425.915,,,,425.915,,31.279,457.193
"Plan 2013",,,-125,,,-8.000,,-100,,-8.225,388.730,10.643,26.095,6.435,,12.513,444.415,436.190,,,,436.190,,,,436.190,,32.034,468.224
"Plan 2014",,,-31,,,-8.000,,-100,,-8.131,392.263,10.514,26.095,4.431,,12.499,445.802,437.671,,,,437.671,,,,437.671,,31.777,469.448
"Plan 2015",,,-27,,,-8.000,,-100,,-8.127,393.854,10.545,26.095,4.426,,12.500,447.419,439.292,,,,439.292,,,,439.292,,31.958,471.250
"1121","Bezirksverwaltung Mitte",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-304,,,,-38,-56.612,,-56.954,116.632,47.406,15.880,3.295,13.958,11.588,208.760,151.806,,,,151.806,,,,151.806,,15.859,167.665
"Ansatz 2010",,,,,,-100,-20,,,-120,108.542,14.851,207.515,,57.200,10.900,399.007,398.887,,,,398.887,,,,398.887,,18.006,416.893
"Ansatz 2011",,,,,,-100,-18,,,-118,97.463,17.860,118.497,,57.100,9.834,300.753,300.636,,,,300.636,,,,300.636,-1.233,17.412,316.814
"Plan 2012",,,,,,-100,,,,-100,99.696,13.719,882.515,2.949,57.000,10.020,1.065.899,1.065.799,,,,1.065.799,,,,1.065.799,-937,38.141,1.103.003
"Plan 2013",,,,,,-100,,,,-100,104.921,20.058,1.034.916,2.949,57.000,10.105,1.229.947,1.229.847,,,,1.229.847,,,,1.229.847,-943,43.778,1.272.682
"Plan 2014",,,,,,-100,,,,-100,105.276,19.809,1.034.916,2.949,57.000,10.078,1.230.026,1.229.926,,,,1.229.926,,,,1.229.926,-937,43.158,1.272.148
"Plan 2015",,,,,,-100,,,,-100,106.286,19.920,1.034.915,2.949,57.000,10.079,1.231.150,1.231.050,,,,1.231.050,,,,1.231.050,-937,43.549,1.273.662
"1122","Bezirksverwaltung Wattenscheid",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-1.147,,,-833,-73,-43.079,,-45.132,1.069.621,96.142,105.883,36.057,20.765,22.228,1.350.696,1.305.563,,,,1.305.563,137,-289,-152,1.305.412,-161.895,208.300,1.351.816
"Ansatz 2010",,,-250,,,-100,-40,,,-390,419.415,30.649,129.231,715,42.600,11.491,634.102,633.712,,,,633.712,,,,633.712,-152.403,204.337,685.646
"Ansatz 2011",,,,,,-100,-40,,,-140,446.100,42.980,134.073,,42.500,11.488,677.141,677.001,,,,677.001,,,,677.001,-134.045,185.568,728.524
"Plan 2012",,,-470,,,-100,,,,-570,430.989,31.859,841.142,35.666,42.300,11.421,1.393.378,1.392.808,,,,1.392.808,,,,1.392.808,-138.446,204.648,1.459.010
"Plan 2013",,,-470,,,-100,,,,-570,446.433,46.651,841.142,35.666,42.300,11.621,1.423.813,1.423.243,,,,1.423.243,,,,1.423.243,-139.152,207.524,1.491.614
"Plan 2014",,,-470,,,-100,,,,-570,450.069,46.077,841.142,35.666,42.300,11.557,1.426.812,1.426.242,,,,1.426.242,,,,1.426.242,-138.449,206.119,1.493.912
"Plan 2015",,,-470,,,-100,,,,-570,456.669,46.387,841.142,35.641,42.300,11.561,1.433.700,1.433.130,,,,1.433.130,,,,1.433.130,-138.450,206.738,1.501.418
"1123","Bezirksverwaltung Nord",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-1.266,,,,-151,-21.428,,-22.845,299.984,40.607,60.513,22.437,12.369,6.761,442.671,419.826,,,,419.826,28,-51,-23,419.803,-43.106,71.209,447.907
"Ansatz 2010",,,,,,-100,-20,-100,,-220,127.256,13.033,73.724,869,5.900,8.200,228.982,228.762,,,,228.762,,,,228.762,-420.281,573.611,382.092
"Ansatz 2011",,,,,,-100,-20,-100,,-220,117.578,18.381,47.902,,31.300,8.200,223.361,223.140,,,,223.140,,,,223.140,-30.555,53.724,246.309
"Plan 2012",,,-869,,,-100,,-100,,-1.069,111.233,13.761,573.502,22.040,31.300,8.209,760.045,758.976,,,,758.976,,,,758.976,-30.995,65.468,793.449
"Plan 2013",,,-869,,,-100,,-100,,-1.069,116.080,20.104,573.502,22.040,31.300,8.292,771.317,770.249,,,,770.249,,,,770.249,-31.132,66.622,805.738
"Plan 2014",,,-869,,,-100,,-100,,-1.069,116.113,19.844,573.502,22.040,31.300,8.265,771.063,769.995,,,,769.995,,,,769.995,-30.995,66.065,805.064
"Plan 2015",,,-658,,,-100,,-100,,-858,116.256,19.902,573.502,21.829,31.300,8.266,771.055,770.197,,,,770.197,,,,770.197,-30.996,66.298,805.500
"1124","Bezirksverwaltung Ost",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-238,,-2.290,,-79,-39.277,,-41.884,439.660,85.450,131.330,28.552,29.075,13.041,727.108,685.224,,,,685.224,45,-91,-46,685.179,-58.536,94.707,721.349
"Ansatz 2010",,,,,,-100,-61,,,-161,195.971,29.047,213.790,493,36.700,15.550,491.551,491.390,,,,491.390,,,,491.390,-906.571,1.282.144,866.963
"Ansatz 2011",,,,,,-100,-61,,,-161,167.591,27.686,149.329,,36.600,15.550,396.756,396.595,,,,396.595,,,,396.595,-52.351,93.083,437.327
"Plan 2012",,,-238,,,-100,,,,-338,160.678,18.363,783.210,27.972,36.500,14.710,1.041.434,1.041.096,,,,1.041.096,,,,1.041.096,-51.892,105.425,1.094.629
"Plan 2013",,,-238,,,-100,,,,-338,173.726,30.092,783.210,27.757,36.500,14.809,1.066.093,1.065.755,,,,1.065.755,,,,1.065.755,-53.067,109.240,1.121.929
"Plan 2014",,,-238,,,-100,,,,-338,173.623,29.559,783.210,27.551,36.500,14.777,1.065.221,1.064.883,,,,1.064.883,,,,1.064.883,-52.827,108.385,1.120.440
"Plan 2015",,,-238,,,-100,,,,-338,173.552,29.338,783.210,27.471,36.500,14.778,1.064.848,1.064.510,,,,1.064.510,,,,1.064.510,-52.826,108.688,1.120.372
"1125","Bezirksverwaltung Süd",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-1.614,,,,-136,-40.953,,-42.703,389.536,94.554,7.721,2.714,-1.288,31.318,524.554,481.852,,,,481.852,32,-67,-35,481.817,-47.212,72.358,506.963
"Ansatz 2010",,,,,,,-41,,,-41,200.126,29.586,13.008,1.352,35.400,30.447,309.919,309.878,,,,309.878,,,,309.878,-47.900,76.368,338.346
"Ansatz 2011",,,,,,,-41,,,-41,208.376,19.698,12.925,,35.300,30.447,306.746,306.705,,,,306.705,,,,306.705,-32.172,59.902,334.435
"Plan 2012",,,-216,,,,,,,-216,251.546,23.948,441.307,216,35.300,34.668,786.985,786.769,,,,786.769,,,,786.769,-41.980,80.925,825.715
"Plan 2013",,,-216,,,,,,,-216,205.444,21.174,541.307,216,35.300,34.732,838.173,837.958,,,,837.958,,,,837.958,-42.151,83.298,879.105
"Plan 2014",,,-216,,,,,,,-216,206.350,20.669,541.307,216,35.300,34.709,838.550,838.335,,,,838.335,,,,838.335,-41.981,82.675,879.028
"Plan 2015",,,-216,,,,,,,-216,206.663,20.343,541.307,216,35.300,34.709,838.537,838.322,,,,838.322,,,,838.322,-42.083,83.024,879.262
"1126","Bezirksverwaltung Südwest",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-587,,,,-77,-16.125,,-16.788,252.581,42.825,22.745,12.522,19.505,8.511,358.690,341.902,,,,341.902,41,-85,-44,341.858,-49.827,78.233,370.264
"Ansatz 2010",,,,,,-100,-41,,,-141,124.056,17.302,145.307,402,37.100,10.650,334.817,334.676,,,,334.676,,,,334.676,-65.829,137.594,406.441
"Ansatz 2011",,,,,,-100,-41,,,-141,112.937,13.959,145.542,271,37.000,10.600,320.308,320.167,,,,320.167,,,,320.167,-40.626,70.034,349.575
"Plan 2012",,,-402,,,-100,,,,-502,97.620,8.109,633.443,12.293,37.000,10.604,799.070,798.568,,,,798.568,,,,798.568,-47.706,84.713,835.576
"Plan 2013",,,-402,,,-100,,,,-502,100.619,11.673,633.444,12.293,37.000,10.645,805.675,805.173,,,,805.173,,,,805.173,-47.946,85.853,843.080
"Plan 2014",,,-402,,,-100,,,,-502,100.855,11.398,633.444,12.293,37.000,10.632,805.623,805.121,,,,805.121,,,,805.121,-47.707,85.200,842.614
"Plan 2015",,,-402,,,-100,,,,-502,94.360,7.855,633.443,12.293,37.000,10.632,795.583,795.081,,,,795.081,,,,795.081,-47.707,84.189,831.563
"1127","Allgemeine Personalwirtschaft",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,,,,,-23.248.194,-2.425.349,,-25.673.543,19.128.553,6.466.368,729,,,58.062,25.653.711,-19.832,,,,-19.832,,,,-19.832,,1.956.144,1.936.312
"Ansatz 2010",,,,,,,-21.524.915,,,-21.524.915,17.978.291,2.120.286,700,,,5.300,20.104.577,-1.420.338,,,,-1.420.338,,,,-1.420.338,,2.159.765,739.427
"Ansatz 2011",,,,,,,-22.406.592,,,-22.406.592,18.208.437,2.804.485,,,,,21.012.922,-1.393.670,,,,-1.393.670,,,,-1.393.670,,1.204.210,-189.461
"Plan 2012",,,,,,,-20.856.300,,,-20.856.300,18.321.579,2.159.144,,,,920,20.481.642,-374.658,,,,-374.658,,,,-374.658,,955.739,581.082
"Plan 2013",,,,,,,-22.679.000,,,-22.679.000,19.307.236,3.166.412,,,,9.899,22.483.548,-195.452,,,,-195.452,,,,-195.452,,1.035.399,839.947
"Plan 2014",,,,,,,-22.824.200,,,-22.824.200,19.436.929,3.132.771,,,,7.041,22.576.741,-247.459,,,,-247.459,,,,-247.459,,1.022.324,774.865
"Plan 2015",,,,,,,-22.930.800,,,-22.930.800,19.562.067,3.132.811,,,,7.200,22.702.079,-228.721,,,,-228.721,,,,-228.721,,1.032.443,803.722
"1128","Stabstelle für Kultur, Bildung und Wisse",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-924,,,,-38,-16.643,,-17.605,222.559,37.489,7.426,4.035,,4.845,276.354,258.749,,,,258.749,,,,258.749,-13.113,22.519,268.155
"Ansatz 2010",,,,,,,-19,,,-19,212.891,11.386,7.614,294,,5.828,238.014,237.994,,,,237.994,,,,237.994,-18.769,26.222,245.448
"Ansatz 2011",,,,,,,-19,,,-19,204.730,11.883,7.665,,,5.828,230.105,230.086,,,,230.086,,,,230.086,-18.264,25.318,237.141
"Plan 2012",,,-158,,,,,,,-158,212.323,9.210,7.328,3.176,,6.601,238.638,238.479,,,,238.479,,,,238.479,-20.760,21.125,238.844
"Plan 2013",,,-158,,,,,,,-158,217.797,13.462,7.328,3.176,,6.652,248.415,248.256,,,,248.256,,,,248.256,-21.032,21.684,248.908
"Plan 2014",,,-158,,,,,,,-158,219.705,13.304,7.328,3.176,,6.636,250.149,249.990,,,,249.990,,,,249.990,-21.250,21.541,250.282
"Plan 2015",,,-158,,,,,,,-158,221.168,13.290,7.328,3.176,,6.636,251.598,251.440,,,,251.440,,,,251.440,-21.390,21.658,251.708
"1201","Einwohnerangelegenheiten",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-15.998,,-2.111.905,-42.162,-8.797,-477.261,,-2.656.122,5.656.921,1.114.992,540.941,180.222,150,1.372.800,8.866.026,6.209.904,,,,6.209.904,-63,129,66,6.209.970,-47.034,1.588.097,7.751.033
"Ansatz 2010",,,-1.742,,-2.255.200,-30.500,-22.916,-16.100,,-2.326.458,5.825.179,390.660,653.411,62.204,150,1.567.218,8.498.821,6.172.363,,,,6.172.363,,,,6.172.363,-40.235,1.677.661,7.809.789
"Ansatz 2011",,,,,-3.355.000,-30.500,-22.915,-16.100,,-3.424.515,6.342.191,503.759,685.170,10.120,150,2.595.180,10.136.570,6.712.054,,,,6.712.054,,,,6.712.054,-39.145,1.195.776,7.868.685
"Plan 2012",,,-7.765,,-3.227.400,-33.000,-21.650,-16.100,,-3.305.915,6.327.586,375.798,658.659,190.067,150,2.387.487,9.939.748,6.633.833,,,,6.633.833,,,,6.633.833,-202.727,1.621.714,8.052.821
"Plan 2013",,,-7.416,,-3.170.700,-33.000,-21.650,-16.100,,-3.248.866,6.528.557,553.051,658.661,185.916,150,2.322.055,10.248.390,6.999.524,,,,6.999.524,,,,6.999.524,-202.844,3.242.082,10.038.762
"Plan 2014",,,-6.083,,-3.095.400,-33.000,-21.650,-16.100,,-3.172.233,6.583.285,546.348,658.661,160.262,150,2.274.944,10.223.649,7.051.416,,,,7.051.416,,,,7.051.416,-202.726,1.634.566,8.483.255
"Plan 2015",,,-5.695,,-3.095.400,-33.000,-21.650,-16.100,,-3.171.845,6.630.287,547.391,658.659,157.050,150,2.274.979,10.268.516,7.096.671,,,,7.096.671,,,,7.096.671,-202.726,1.639.010,8.532.955
"1202","Wahlen und Abstimmungen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-2.199,,-30,-85,-667.716,-86.041,,-756.072,1.209.082,228.187,72.857,2.616,,1.097.939,2.610.682,1.854.611,,,,1.854.611,-1,3,1,1.854.612,,208.631,2.063.243
"Ansatz 2010",,,-84,,,,-249.346,-100,,-249.530,560.790,78.191,64.352,2.329,,380.475,1.086.138,836.607,,,,836.607,,,,836.607,,186.533,1.023.140
"Ansatz 2011",,,,,,,-146,-100,,-246,591.466,103.257,58.808,714,,28.587,782.833,782.587,,,,782.587,,,,782.587,,127.403,909.990
"Plan 2012",,,-84,,,,,,,-84,351.314,46.349,58.772,890,,15.330,472.655,472.570,,,,472.570,,,,472.570,,89.880,562.450
"Plan 2013",,,-84,,,,-310.000,,,-310.084,368.810,67.788,61.423,891,,412.097,911.010,600.925,,,,600.925,,,,600.925,,102.967,703.893
"Plan 2014",,,-84,,,,-250.000,,,-250.084,370.499,66.975,66.773,891,,497.112,1.002.250,752.166,,,,752.166,,,,752.166,,104.985,857.151
"Plan 2015",,,-84,,,,-285.000,,,-285.084,373.214,67.164,64.822,891,,968.516,1.474.607,1.189.523,,,,1.189.523,,,,1.189.523,,118.730,1.308.253
"1203","Statistische Angelegenheiten",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-2.018,,,-561,-746,-20.003,,-23.328,381.734,38.129,15.954,5.973,,5.633,447.424,424.096,,,,424.096,,,,424.096,,54.761,478.856
"Ansatz 2010",,,-15.091,,,-1.400,-120,,,-16.611,383.676,12.573,37.002,475,,7.920,441.645,425.034,,,,425.034,,,,425.034,,65.199,490.233
"Ansatz 2011",,,-490.000,,,-1.400,-120,,,-491.520,386.978,17.854,493.909,,,7.920,906.660,415.140,,,,415.140,,,,415.140,,62.986,478.125
"Plan 2012",,,,,,-1.400,,,,-1.400,497.266,40.572,21.878,5.160,,6.117,570.994,569.594,,,,569.594,,,,569.594,,53.781,623.375
"Plan 2013",,,,,,-1.400,,,,-1.400,361.065,21.142,22.408,5.297,,5.697,415.609,414.209,,,,414.209,,,,414.209,,32.074,446.283
"Plan 2014",,,,,,-1.400,,,,-1.400,354.177,21.526,23.525,5.598,,5.972,410.799,409.399,,,,409.399,,,,409.399,,31.651,441.049
"Plan 2015",,,,,,-1.400,,,,-1.400,340.597,21.142,23.525,5.598,,6.072,396.934,395.534,,,,395.534,,,,395.534,,30.184,425.718
"1204","Sonn-/Feiertagsschutz, Bühnenpyrotechnik",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-13,,-3.728,,-5.821,-4.561,,-14.122,32.433,11.485,676,316,,1.496,46.406,32.283,,,,32.283,-2,5,2,32.286,,7.141,39.427
"Ansatz 2010",,,-3,,-700,,-4.646,,,-5.350,31.223,3.768,1.741,11,,2.724,39.467,34.117,,,,34.117,,,,34.117,,10.305,44.422
"Ansatz 2011",,,,,-700,,-4.646,,,-5.346,30.797,4.581,1.715,5,,2.724,39.822,34.475,,,,34.475,,,,34.475,,10.209,44.685
"Plan 2012",,,-7,,-700,,-5.132,,,-5.840,32.195,3.573,1.728,26,,2.834,40.356,34.516,,,,34.516,,,,34.516,,3.742,38.258
"Plan 2013",,,-7,,-700,,-5.132,,,-5.840,34.707,5.621,1.325,27,,2.840,44.521,38.681,,,,38.681,,,,38.681,,3.904,42.585
"Plan 2014",,,-7,,-700,,-5.132,,,-5.839,33.633,5.244,1.325,17,,2.832,43.052,37.212,,,,37.212,,,,37.212,,3.831,41.043
"Plan 2015",,,-7,,-700,,-5.132,,,-5.839,33.823,5.257,1.325,18,,2.832,43.255,37.416,,,,37.416,,,,37.416,,3.848,41.265
"1205","Prävention",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-63.584,,-26.836,-596.418,-12.533,-310.849,,-1.010.219,1.996.057,731.576,208.904,87.134,,81.482,3.105.153,2.094.933,,502,502,2.095.435,-19,169,150,2.095.585,-183.707,248.696,2.160.574
"Ansatz 2010",,,-64.555,,-29.500,-536.400,-416,,,-630.871,1.821.601,238.713,219.941,146.310,,71.282,2.497.846,1.866.976,,,,1.866.976,-5.763,,-5.763,1.861.213,-78.962,296.433,2.078.684
"Ansatz 2011",,,-49.423,,-29.500,-580.700,-418,,,-660.041,1.930.300,329.761,223.905,112.415,,71.911,2.668.292,2.008.251,,,,2.008.251,-5.763,,-5.763,2.002.488,-68.034,297.492,2.231.946
"Plan 2012",,,-68.041,,-29.500,-593.700,,,,-691.241,1.727.610,230.334,217.208,79.343,,75.364,2.329.859,1.638.619,,,,1.638.619,-5.763,,-5.763,1.632.856,-149.260,252.609,1.736.205
"Plan 2013",,,-65.720,,-29.500,-595.700,,,,-690.920,1.755.817,327.705,218.618,78.069,,76.488,2.456.697,1.765.777,,,,1.765.777,-5.763,,-5.763,1.760.014,-145.395,259.839,1.874.458
"Plan 2014",,,-71.605,,-29.500,-597.700,,,,-698.805,1.742.153,314.489,217.856,76.350,,75.436,2.426.283,1.727.478,,,,1.727.478,-5.763,,-5.763,1.721.715,-148.546,255.611,1.828.780
"Plan 2015",,,-66.491,,-29.500,-599.700,,,,-695.691,1.745.465,313.665,217.896,76.724,,75.383,2.429.133,1.733.441,,,,1.733.441,-5.763,,-5.763,1.727.678,-145.411,257.307,1.839.574
"1206","Intervention",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-589.610,,-65.669,-21.173,-61.902,-5.043.115,,-5.781.469,17.427.220,9.564.389,1.520.443,936.082,,494.156,29.942.290,24.160.821,,3.678,3.678,24.164.499,87,-767,-680,24.163.819,-121.731,1.312.107,25.354.194
"Ansatz 2010",,,-577.402,,-72.500,-9.550,-11.446,-200,,-671.097,15.269.901,3.063.680,1.639.133,1.571.254,,454.653,21.998.621,21.327.524,,,,21.327.524,-26.437,1.500,-24.937,21.302.587,-139.233,1.879.015,23.042.369
"Ansatz 2011",,,-427.849,,-74.000,-9.550,-11.439,-200,,-523.038,16.439.914,4.201.221,1.655.033,1.180.764,,454.724,23.931.655,23.408.617,,,,23.408.617,-26.437,1.500,-24.937,23.383.680,-135.498,1.863.056,25.111.238
"Plan 2012",,,-538.097,,-74.000,-9.550,-5.800,-200,,-627.647,16.076.871,3.099.047,1.745.090,948.774,,457.772,22.327.555,21.699.908,,,,21.699.908,-26.437,1.500,-24.937,21.674.971,-135.452,1.525.697,23.065.216
"Plan 2013",,,-546.018,,-74.000,-9.550,-5.800,-200,,-635.568,16.563.399,4.389.316,1.599.378,996.840,,475.155,24.024.087,23.388.520,,,,23.388.520,-26.437,1.500,-24.937,23.363.583,-136.615,1.600.305,24.827.272
"Plan 2014",,,-614.248,,-74.000,-9.550,-5.800,-200,,-703.798,17.292.870,4.509.187,1.634.910,1.045.685,,470.930,24.953.582,24.249.784,,,,24.249.784,-26.437,1.500,-24.937,24.224.847,-134.950,1.608.754,25.698.651
"Plan 2015",,,-588.141,,-74.000,-9.550,-5.800,-200,,-677.691,17.372.748,4.515.948,1.609.357,1.108.081,,471.286,25.077.420,24.399.729,,,,24.399.729,-26.437,1.500,-24.937,24.374.792,-140.403,1.636.451,25.870.840
"1207","Rettungsdienst",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-126.082,,-8.005.234,-4.270,-23.728,-864.503,,-9.023.816,4.581.329,2.224.343,695.940,374.005,,2.714.774,10.590.390,1.566.575,,3.858,3.858,1.570.433,-68,599,530,1.570.963,-29.395,522.695,2.064.264
"Ansatz 2010",,,-105.261,,-8.545.000,,-1.357,-100,,-8.651.718,4.125.259,749.020,966.949,642.174,,3.122.730,9.606.132,954.414,,,,954.414,-18.400,500,-17.900,936.514,,699.569,1.636.083
"Ansatz 2011",,,-78.994,,-9.067.550,,-1.356,-100,,-9.148.000,4.418.332,1.027.388,967.071,764.496,,3.191.830,10.369.117,1.221.117,,,,1.221.117,-18.400,500,-17.900,1.203.217,,712.163,1.915.380
"Plan 2012",,,-108.270,,-8.545.000,,,-100,,-8.653.370,4.294.199,752.164,909.721,307.821,,3.257.280,9.521.185,867.814,,,,867.814,-18.400,500,-17.900,849.914,,569.239,1.419.153
"Plan 2013",,,-100.216,,-8.545.000,,,-100,,-8.645.316,4.423.554,1.065.832,1.128.080,335.800,,3.316.432,10.269.697,1.624.382,,,,1.624.382,-18.400,500,-17.900,1.606.482,,604.386,2.210.868
"Plan 2014",,,-168.078,,-8.545.000,,,-100,,-8.713.178,4.623.408,1.096.094,922.310,394.223,,3.375.273,10.411.308,1.698.129,,,,1.698.129,-18.400,500,-17.900,1.680.229,,600.507,2.280.737
"Plan 2015",,,-124.398,,-8.545.000,,,-100,,-8.669.498,4.648.531,1.097.755,945.767,460.883,,3.435.343,10.588.278,1.918.780,,,,1.918.780,-18.400,500,-17.900,1.900.880,,616.324,2.517.204
"1208","Leistg. d. Chemischen Untersuchungsamtes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-46.180,,-1.574,-187.246,-522.880,-71.951,,-829.832,1.794.289,137.236,323.896,105.126,,146.600,2.507.148,1.677.316,,,,1.677.316,,,,1.677.316,-1.764.261,237.270,150.325
"Ansatz 2010",,,,,-5.000,-205.750,-524.361,,,-735.111,1.703.151,38.893,368.264,130.571,19.000,563.684,2.823.563,2.088.452,,,,2.088.452,,,,2.088.452,-1.934.500,279.464,433.415
"Ansatz 2011",,,,,-5.000,-212.800,-524.361,,,-742.161,1.574.902,47.883,276.565,67.049,,901.538,2.867.937,2.125.776,,,,2.125.776,,,,2.125.776,-1.933.496,274.689,466.969
"Plan 2012",,,-14.765,,-5.000,-178.823,-524.300,,,-722.888,1.583.840,35.877,277.406,49.567,,921.391,2.868.081,2.145.193,,,,2.145.193,,,,2.145.193,-1.745.310,232.364,632.246
"Plan 2013",,,-4.490,,-5.000,-178.823,-524.300,,,-712.614,1.564.009,43.937,277.406,93.410,,921.454,2.900.216,2.187.603,,,,2.187.603,,,,2.187.603,-1.745.219,236.786,679.170
"Plan 2014",,,-237,,-5.000,-178.823,-524.300,,,-708.360,1.435.162,20.574,277.406,143.736,,921.310,2.798.188,2.089.828,,,,2.089.828,,,,2.089.828,-1.745.310,231.908,576.426
"Plan 2015",,,-237,,-5.000,-178.823,-524.300,,,-708.360,1.438.237,19.830,277.406,198.280,,921.308,2.855.061,2.146.701,,,,2.146.701,,,,2.146.701,-1.745.310,234.378,635.768
"1209","Owis und Ehrenamtliche Rechtspflege",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ergebnis 2009",,,-3.130,,-782.539,,-72.900,-3.427.933,,-4.286.502,1.805.419,435.670,78.864,16.532,,455.527,2.792.012,-1.494.490,,,,-1.494.490,-10,20,9,-1.494.481,,497.270,-997.211
"Ansatz 2010",,,-187,,-2.400,,-73.969,-5.239.450,,-5.316.005,1.673.534,131.408,81.100,6.378,,647.249,2.539.669,-2.776.337,,,,-2.776.337,,,,-2.776.337,,530.034,-2.246.303
